date,titleSlug,questionFrontendId,title,difficulty,acRate
2020-08-01,logger-rate-limiter,359,Logger Rate Limiter,Easy,76.0
2020-08-08,closest-binary-search-tree-value,270,Closest Binary Search Tree Value,Easy,51.4
2020-08-15,find-permutation,484,Find Permutation,Medium,66.9
2020-08-22,the-maze,490,The Maze,Medium,58.2
2020-08-29,robot-room-cleaner,489,Robot Room Cleaner,Hard,76.8
2020-09-01,read-n-characters-given-read4,157,Read N Characters Given Read4,Easy,41.6
2020-09-08,moving-average-from-data-stream,346,Moving Average from Data Stream,Easy,78.6
2020-09-15,inorder-successor-in-bst-ii,510,Inorder Successor in BST II,Medium,60.9
2020-09-22,insert-into-a-sorted-circular-linked-list,708,Insert into a Sorted Circular Linked List,Medium,36.4
2020-09-29,word-squares,425,Word Squares,Hard,53.4
2020-10-01,maximum-distance-in-arrays,624,Maximum Distance in Arrays,Medium,42.4
2020-10-08,two-sum-iii-data-structure-design,170,Two Sum III - Data structure design,Easy,38.2
2020-10-15,meeting-rooms-ii,253,Meeting Rooms II,Medium,51.4
2020-10-22,search-in-a-sorted-array-of-unknown-size,702,Search in a Sorted Array of Unknown Size,Medium,72.2
2020-10-29,encode-n-ary-tree-to-binary-tree,431,Encode N-ary Tree to Binary Tree,Hard,79.6
2020-11-01,meeting-rooms,252,Meeting Rooms,Easy,58.2
2020-11-08,two-sum-less-than-k,1099,Two Sum Less Than K,Easy,61.8
2020-11-15,remove-interval,1272,Remove Interval,Medium,66.1
2020-11-22,longest-substring-with-at-most-two-distinct-characters,159,Longest Substring with At Most Two Distinct Characters,Medium,55.5
2020-11-29,maximum-average-subarray-ii,644,Maximum Average Subarray II,Hard,36.8
2020-12-01,shortest-word-distance,243,Shortest Word Distance,Easy,65.4
2020-12-08,missing-ranges,163,Missing Ranges,Easy,34.0
2020-12-15,plus-one-linked-list,369,Plus One Linked List,Medium,61.1
2020-12-22,find-nearest-right-node-in-binary-tree,1602,Find Nearest Right Node in Binary Tree,Medium,75.5
2020-12-29,longest-substring-with-at-most-k-distinct-characters,340,Longest Substring with At Most K Distinct Characters,Medium,48.9
2021-01-01,palindrome-permutation,266,Palindrome Permutation,Easy,67.5
